idDevedores,Valor,QtdTitulos
13396,3240,00,9
13397,2500,00,1
13398,5881,66,17
13399,2584,00,2
13400,600,00,2
13401,1408,00,2
13402,4024,16,16
13403,1408,00,2
13404,6000,00,12
13405,3300,00,11
13406,2520,00,7
13408,2880,00,8
13409,4078,75,16
13410,7024,15,14
13411,500,00,1
13412,1620,00,2
13413,2520,00,7
13414,2100,00,7
13416,2880,00,8
13417,361,66,1
13418,4320,00,12
13419,2100,00,7
13421,4248,71,12
13423,12500,00,5
13425,720,00,2
13426,3240,00,9
13429,1708,80,2
13430,4933,81,7
13431,2448,00,8
13432,1710,00,1
13433,420,00,15
13435,4500,00,15
13436,720,00,2
13437,3036,24,12
13438,300,00,1
13440,3520,00,5
13441,3960,00,11
13443,5400,00,5
13444,1500,00,6
13445,3240,00,9
13446,6582,40,11
13447,19440,00,9
13448,3240,00,4
13449,5078,75,20
13450,25000,00,10
13452,2520,00,7
13454,2448,00,8
13456,8494,50,28
13458,720,00,2
13459,6318,71,18
13460,2880,00,8
13461,3600,00,10
13462,4248,71,12
13464,2070,00,3
13465,26800,00,11
13466,6094,50,20
13467,420,00,15
13468,3366,00,11
13469,33450,40,7
13471,21060,00,9
13472,360,00,1
13473,2160,00,3
13474,360,00,1
13475,2880,00,8
13477,3274,16,1
13478,700,00,1
13479,10000,00,4
13480,5000,00,2
13481,4156,66,12
13482,500,00,1
13483,250,00,1
13484,1530,00,2
13485,612,00,2
13486,2160,00,6
13487,720,00,1
13488,3240,00,9
13489,5000,00,2
13490,17500,00,7
13491,1883,70,1
13492,940,50,1
13493,1773,51,6
13494,19585,00,10
13495,3600,00,10
13496,420,00,15
13497,2523,71,7
13498,300,00,1
13499,3213,00,3
13500,2893,28,8
13501,940,50,3
13502,7744,00,11
13503,21691,62,8
13504,3600,00,10
13505,720,00,2
13506,3240,00,9
13507,3240,00,9
13508,540,00,1
13509,3240,00,9
13512,2880,00,8
13513,2000,00,8
13514,20142,71,21
13515,3000,00,6
13516,1440,00,2
13517,3600,00,10
13519,704,00,1
13521,2010,00,1
13523,6322,00,18
13524,1669,25,5
13525,2880,00,8
13526,2100,00,7
13527,29,10,1
13528,313,50,1
13529,8330,00,5
13530,3240,00,9
13531,2520,00,7
13532,7064,00,4
13534,4320,00,12
13535,6024,15,12
13537,1800,00,5
13538,345,00,1
13540,854,25,1
13541,7272,30,17
13544,2880,00,8
13545,2880,00,8
13546,2400,00,6
13547,3960,00,11
13548,6343,47,9
13549,3600,00,10
13551,4024,16,16
13552,4846,66,14
13553,4000,00,8
13554,3960,00,11
13555,2880,00,8
13556,500,00,1
13557,91143,14,3
13558,2500,00,1
13559,2160,00,3
13560,1750,00,7
13561,2448,00,8
13562,8400,00,12
13563,14618,00,13
13565,5632,00,8
13566,2200,00,1
13567,1005,00,1
13568,5000,00,2
13569,360,00,1
13570,1800,00,5
13571,1680,00,15
13572,2100,00,7
13573,2500,00,1
13574,762,08,1
13575,420,00,15
13576,2520,00,7
13577,3600,00,10
13579,4320,00,12
13580,1325,00,1
13581,7500,00,3
13582,7040,00,10
13583,2754,00,9
13584,1500,00,3
13585,1080,00,3
13586,3600,00,10
13587,5199,48,2
13588,7744,00,11
13589,4262,08,17
13590,4828,75,19
13591,4720,00,2
13592,6024,15,12
13593,6000,00,12
13594,300,00,1
13595,1440,00,4
13596,3960,00,1
13597,2714,00,1
13598,3960,00,11
13599,3254,94,9
13600,1836,00,6
13601,3960,00,11
13602,1980,00,2
13603,500,00,1
13604,2108,00,2
13605,1500,00,1
13606,1200,00,4
13607,4320,00,12
13608,2800,00,2
13609,3000,00,2
13610,12060,00,12
13611,9360,00,4
13613,627,00,2
13614,10500,00,1
13615,1047,20,1
13616,7040,00,10
13617,1008,00,30
13618,7500,00,3
13619,57,10,2
13620,1008,00,9
13621,990,00,1
13622,3960,00,11
13624,7560,00,12
13625,345,00,1
13626,2808,00,9
13627,3960,00,11
13628,4593,71,13
13629,750,00,3
13630,360,00,1
13631,3000,00,10
13632,2397,40,3
13633,500,00,1
13634,250,00,1
13635,4320,00,12
13636,3240,00,9
13637,3943,68,10
13638,4320,00,12
13639,6394,50,21
13640,1808,30,1
13641,1024,00,2
13643,33900,00,18
13644,612,00,2
13645,720,00,2
13646,5680,00,11
13647,4578,75,18
13648,2268,00,9
13649,2520,00,7
13650,2160,00,1
13651,3960,00,11
13653,4188,80,7
13654,9000,00,6
13655,3220,40,8
13656,1223,80,2
13657,1440,00,3
13658,12500,00,5
13659,2520,00,7
13660,5130,00,3
13661,2880,00,8
13663,87,30,1
13664,7188,00,12
13665,8433,81,12
13666,3417,00,2
13667,3600,00,10
13668,360,00,1
13669,1500,00,5
13671,300,00,1
13673,3600,00,10
13674,10000,00,4
13675,6340,50,21
13676,7744,00,11
13677,7689,60,3
13678,854,25,1
13679,2500,00,1
13680,5632,00,8
13681,360,00,1
13682,4262,08,17
13683,2520,00,7
13684,7744,00,11
13685,699,20,8
13686,6000,00,12
13687,2100,00,7
13689,720,00,2
13691,2500,00,1
13692,720,00,1
13693,2520,00,7
13694,2754,00,9
13695,3240,00,9
13697,7180,00,3
13698,7500,00,3
13699,3960,00,11
13700,360,00,1
13701,4500,00,3
13702,4518,32,13
13703,6230,00,21
13704,1440,00,4
13706,7744,00,10
13707,990,00,1
13709,5692,82,7
13710,700,00,1
13711,15793,70,3
13713,4320,00,12
13714,3600,00,10
13715,9094,50,30
13716,2100,00,7
